Respondent,Submitted (date),Season,Role,"If you did nothing related to marketing for 30 days, what happens?",Who does the cleaning most of the time?,Who handles quoting/sales?,What most often prevents you from taking time off?,How consistent is quality across jobs?,"You have an extra $1,000/month to spend, what would help the most ?",Scheduling + client communication feels like...,What causes the most stress in your business week-to-week?,"If you disappeared for 7 days, what % of jobs would still happen?",Financial tracking right now looks like...,SOPs / Training systems are...,What's the biggest profit killer in your business?,Owner time is mostly spent on…,The business is best described as...,"When you try to grow, what breaks first?",Which statement feels most true right now?,Which resources would you like me to send you? (These are FREE!),Which resources would you like me to send you? (These are FREE!) (2),Which resources would you like me to send you? (These are FREE!) (3),Which resources would you like me to send you? (These are FREE!) (4)
R11,2026-02-20,24,28,"You feel out of control, you don't have that many cleans right now",Never me; I'm not needed for cleanings at all,Sales is owned by a trained role; I review KPIs weekly/monthly,"If I’m not there, the clean won't get done right",Largely dependent on who shows up,"Hiring/training cleaners support (recruiting, onboarding, pay structure)",Ops lead owns it; I'm not involved,"“We might have gaps, I want better systems and team members who take ownership.”",95-100%,Checking the bank; random surprises happen,Some checklists; not always followed,Weak standards + accountability; team depends on you to pick up their slack and catch their mistakes,Managing managers/systems + payroll + marketing + checking KPIs,I bought myself a job,"Standards, accountability, team ownership, decision-making",“We have demand - but staffing and consistency keep us stuck.”,,,,Cleaning Checklist (for Cleaners)
R12,2026-02-21,15,16,"You feel out of control, you don't have that many cleans right now",Mostly me,Me,"If I’m not there, long-term growth decisions won't be made as expected",Kinda consistent; we have checklists that are somewhat followed,"More profitable marketing/sales (ads, SEO, referrals)",Manageable with templates but I'm still the hub,“How will we get new cleanings?”,0-25%,"I check weekly KPIs (labor %, CAC, churn, profit)",Documented SOP library + enforcement,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads","Doing + reacting (cleaning, texts, problems)",I bought myself a job,We just don't get enough inquiries / bookings,"“We do great work - if we could just get more ideal customers, we’d explode.”",,,,How to Get Free Leads from Google (Local SEO Hack Video)
R13,2026-02-21,18,21,You'd feel steady; marketing KPIs are managed by a trained team member or agency.,Mostly me,Me,"If I’m not there, the clean won't get done right",QA/Picture proof at the end of jobs. Mostly consistent.,"More profitable marketing/sales (ads, SEO, referrals)",Manageable with templates but I'm still the hub,“How will we get new cleanings?”,0-25%,Squeaky clean books + forecasting; buyer-ready reporting,Mostly verbal; inconsistent,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads",Managing managers/systems + payroll + marketing + checking KPIs,"It works, but I’m still essential",We just don't get enough inquiries / bookings,"“We do great work - if we could just get more ideal customers, we’d explode.”",,,,How to Get Free Leads from Google (Local SEO Hack Video)
R14,2026-03-04,15,17,All new business stops; panic mode,Never me; I'm not needed for cleanings at all,Me,"If I’m not marketing/selling, we won't get many new bookings",QA/Picture proof at the end of jobs. Mostly consistent.,"More profitable marketing/sales (ads, SEO, referrals)",Manageable with templates but I'm still the hub,“How will we get new cleanings?”,0-25%,Basic bookkeeping; I know revenue/costs monthly,Mostly verbal; inconsistent,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads",Managing people + schedules + customer issues + sales/quoting,"It works, but I’m still essential",We just don't get enough inquiries / bookings,"“We do great work - if we could just get more ideal customers, we’d explode.”",,,,The Best Sales PDF Ever! (for New Leads)
R15,2026-03-11,25,30,You'd feel steady; marketing KPIs are managed by a trained team member or agency.,Never me; I'm not needed for cleanings at all,Mostly handled by my VA; I oversee,"If I’m not there, long-term growth decisions won't be made as expected",QA/Picture proof at the end of jobs. Mostly consistent.,"Hiring/training cleaners support (recruiting, onboarding, pay structure)","Systemized; Someone else dispatches day-to-day, I step in when needed",“Will my cleaners show up and do it right?”,50-95%,Basic bookkeeping; I know revenue/costs monthly,Mostly verbal; inconsistent,"Turnover, no-shows, slow/low-quality labor","Whiteboard sessions, strategy, expansion, partnerships; leadership only","It works, but I’m still essential","Scheduling overload, forgotten things, re-dos, communication chaos, missed follow-ups/leads, little engagement with past leads",“We have demand and people - but the operation is messy and leaking time/money.”,,,Cleaning Checklist (for Cleaners),
R16,2026-03-14,18,21,"You feel out of control, you don't have that many cleans right now",Never me; I'm not needed for cleanings at all,Mostly handled by my VA; I oversee,"If I’m not there, scheduling/comms/customer satisfaction falls apart",Kinda consistent; we have checklists that are somewhat followed,"More profitable marketing/sales (ads, SEO, referrals)","Systemized; Someone else dispatches day-to-day, I step in when needed",“How will we get new cleanings?”,50-95%,Basic bookkeeping; I know revenue/costs monthly,Some checklists; not always followed,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads",Managing people + schedules + customer issues + sales/quoting,I bought myself a job,We just don't get enough inquiries / bookings,"“We do great work - if we could just get more ideal customers, we’d explode.”",,,,The Best Sales PDF Ever! (for New Leads)
R17,2026-04-07,13,14,"You feel out of control, you don't have that many cleans right now",Mostly me,Me,"If I’m not there, the clean won't get done right",Largely dependent on who shows up,"Management/leadership (team lead, ops manager, coaching)",Constant texts and fires; it's all in my head,"“Everything’s scattered - texts, schedules, notes, mistakes.”",0-25%,Checking the bank; random surprises happen,Mostly verbal; inconsistent,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads","Doing + reacting (cleaning, texts, problems)",I bought myself a job,We can't find good enough cleaners,“We have demand and people - but the operation is messy and leaking time/money.”,,,,Cleaning Checklist (for Cleaners)
R18,2026-04-08,20,24,All new business stops; panic mode,Never me; I'm not needed for cleanings at all,Me,"If I’m not marketing/selling, we won't get many new bookings",QA/Picture proof at the end of jobs. Mostly consistent.,"More profitable marketing/sales (ads, SEO, referrals)",Manageable with templates but I'm still the hub,“How will we get new cleanings?”,95-100%,Basic bookkeeping; I know revenue/costs monthly,Documented SOP library + enforcement,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads",Managing managers/systems + payroll + marketing + checking KPIs,I bought myself a job,We just don't get enough inquiries / bookings,"“We do great work - if we could just get more ideal customers, we’d explode.”",,,,How to Get Free Leads from Google (Local SEO Hack Video)
R19,2026-04-12,15,16,"You feel out of control, you don't have that many cleans right now",Never me; I'm not needed for cleanings at all,Me with a basic script + process,"If I’m not marketing/selling, we won't get many new bookings",Kinda consistent; we have checklists that are somewhat followed,"More profitable marketing/sales (ads, SEO, referrals)",Manageable with templates but I'm still the hub,"“We might have gaps, I want better systems and team members who take ownership.”",25-50%,Basic bookkeeping; I know revenue/costs monthly,Some checklists; not always followed,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads",Managing people + schedules + customer issues + sales/quoting,I bought myself a job,We can't find good enough cleaners,"“We do great work - if we could just get more ideal customers, we’d explode.”",,,,Booking Koala Automatic Setup Guide (even if you already use BK!)
R20,2026-04-15,31,39,"You're mostly fine since ads are always running, but you'd still worry about CPL/CPA creeping up",Never me; I'm not needed for cleanings at all,Sales is owned by a trained role; I review KPIs weekly/monthly,"If I’m not there, long-term growth decisions won't be made as expected",Kinda consistent; we have checklists that are somewhat followed,"More profitable marketing/sales (ads, SEO, referrals)",Ops lead owns it; I'm not involved,"“We might have gaps, I want better systems and team members who take ownership.”",95-100%,Basic bookkeeping; I know revenue/costs monthly,Some checklists; not always followed,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads",Managing managers/systems + payroll + marketing + checking KPIs,It’s a machine; I steer it,"Scheduling overload, forgotten things, re-dos, communication chaos, missed follow-ups/leads, little engagement with past leads",“We have demand - but staffing and consistency keep us stuck.”,,,How to Get Free Leads from Google (Local SEO Hack Video),
R21,2026-05-16,15,15,All new business stops; panic mode,Never me; I'm not needed for cleanings at all,Me with a basic script + process,"If I’m not there, scheduling/comms/customer satisfaction falls apart",QA/Picture proof at the end of jobs. Mostly consistent.,"More profitable marketing/sales (ads, SEO, referrals)",Constant texts and fires; it's all in my head,“How will we get new cleanings?”,0-25%,Basic bookkeeping; I know revenue/costs monthly,Some checklists; not always followed,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads",Managing people + schedules + customer issues + sales/quoting,I bought myself a job,We just don't get enough inquiries / bookings,"“We do great work - if we could just get more ideal customers, we’d explode.”",,,,Booking Koala Automatic Setup Guide (even if you already use BK!)
R22,2026-06-02,26,31,"You're mostly fine since ads are always running, but you'd still worry about CPL/CPA creeping up",Never me; I'm not needed for cleanings at all,Me,"If I’m not there, scheduling/comms/customer satisfaction falls apart",QA/Picture proof at the end of jobs. Mostly consistent.,"More profitable marketing/sales (ads, SEO, referrals)",Manageable with templates but I'm still the hub,"“We might have gaps, I want better systems and team members who take ownership.”",50-95%,Basic bookkeeping; I know revenue/costs monthly,Some checklists; not always followed,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads",Managing people + schedules + customer issues + sales/quoting,"It works, but I’m still essential","Scheduling overload, forgotten things, re-dos, communication chaos, missed follow-ups/leads, little engagement with past leads",“We have demand and people - but the operation is messy and leaking time/money.”,,,The Best Sales PDF Ever! (for New Leads),Booking Koala Automatic Setup Guide (even if you already use BK!)
R23,2026-06-04,15,17,All new business stops; panic mode,Mix of me + team,Me,"If I’m not marketing/selling, we won't get many new bookings",QA/Picture proof at the end of jobs. Mostly consistent.,"More profitable marketing/sales (ads, SEO, referrals)",Manageable with templates but I'm still the hub,“How will we get new cleanings?”,0-25%,Basic bookkeeping; I know revenue/costs monthly,Mostly verbal; inconsistent,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads","Doing + reacting (cleaning, texts, problems)",I bought myself a job,We just don't get enough inquiries / bookings,"“We do great work - if we could just get more ideal customers, we’d explode.”",,,,The Best Sales PDF Ever! (for New Leads)
R24,2026-06-11,11,12,All new business stops; panic mode,Mostly me,Me with a basic script + process,"If I’m not there, scheduling/comms/customer satisfaction falls apart",Kinda consistent; we have checklists that are somewhat followed,"Systems/tools (scheduling, SOPs, QA, automation)",Manageable with templates but I'm still the hub,“How will we get new cleanings?”,0-25%,Checking the bank; random surprises happen,Mostly verbal; inconsistent,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads","Doing + reacting (cleaning, texts, problems)",I bought myself a job,"Standards, accountability, team ownership, decision-making","“We do great work - if we could just get more ideal customers, we’d explode.”",,,,
R25,2026-06-13,14,17,All new business stops; panic mode,Mostly me,Me,"If I’m not marketing/selling, we won't get many new bookings",Largely dependent on who shows up,"More profitable marketing/sales (ads, SEO, referrals)",Manageable with templates but I'm still the hub,“How will we get new cleanings?”,0-25%,Checking the bank; random surprises happen,Mostly verbal; inconsistent,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads","Doing + reacting (cleaning, texts, problems)","It works, but I’m still essential",We just don't get enough inquiries / bookings,"“We do great work - if we could just get more ideal customers, we’d explode.”",,,,The Best Sales PDF Ever! (for New Leads)
R26,2026-06-22,24,32,"You're mostly fine since ads are always running, but you'd still worry about CPL/CPA creeping up",Mix of me + team,Me,"If I’m not marketing/selling, we won't get many new bookings",Kinda consistent; we have checklists that are somewhat followed,"More profitable marketing/sales (ads, SEO, referrals)",Manageable with templates but I'm still the hub,"“We might have gaps, I want better systems and team members who take ownership.”",95-100%,Checking the bank; random surprises happen,Some checklists; not always followed,"Re-dos, mistakes, inefficiency, constant rescheduling, not following up with new leads after three tries","Doing + reacting (cleaning, texts, problems)","It works, but I’m still essential","Scheduling overload, forgotten things, re-dos, communication chaos, missed follow-ups/leads, little engagement with past leads",“We have demand and people - but the operation is messy and leaking time/money.”,,,,The Best Sales PDF Ever! (for New Leads)
R27,2026-06-29,13,16,All new business stops; panic mode,Mostly me,Me,"If I’m not there, the clean won't get done right",QA/Picture proof at the end of jobs. Mostly consistent.,"More profitable marketing/sales (ads, SEO, referrals)",Constant texts and fires; it's all in my head,“How will we get new cleanings?”,0-25%,Checking the bank; random surprises happen,Mostly verbal; inconsistent,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads","Doing + reacting (cleaning, texts, problems)","It works, but I’m still essential",We just don't get enough inquiries / bookings,"“We do great work - if we could just get more ideal customers, we’d explode.”",,,,The Best Sales PDF Ever! (for New Leads)
R28,2026-06-30,21,24,"You feel out of control, you don't have that many cleans right now",Never me; I'm not needed for cleanings at all,Me with a basic script + process,"If I’m not marketing/selling, we won't get many new bookings",QA/Picture proof at the end of jobs. Mostly consistent.,"More profitable marketing/sales (ads, SEO, referrals)",Manageable with templates but I'm still the hub,“How will we get new cleanings?”,50-95%,Basic bookkeeping; I know revenue/costs monthly,SOPs are an asset; onboarding is fast + audit-ready,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads",Managing people + schedules + customer issues + sales/quoting,I bought myself a job,We just don't get enough inquiries / bookings,"“We do great work - if we could just get more ideal customers, we’d explode.”",,,,How to Get Free Leads from Google (Local SEO Hack Video)
R29,2026-07-15,26,37,All new business stops; panic mode,Rarely me; team handles almost all jobs,Me with a basic script + process,"If I’m not there, long-term growth decisions won't be made as expected",QA/Picture proof at the end of jobs. Mostly consistent.,"More profitable marketing/sales (ads, SEO, referrals)","Systemized; Someone else dispatches day-to-day, I step in when needed","“We might have gaps, I want better systems and team members who take ownership.”",0-25%,Basic bookkeeping; I know revenue/costs monthly,Some checklists; not always followed,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads",Managing people + schedules + customer issues + sales/quoting,It’s a machine; I steer it,"Scheduling overload, forgotten things, re-dos, communication chaos, missed follow-ups/leads, little engagement with past leads",“We have demand and people - but the operation is messy and leaking time/money.”,,,"Pre-Clean ""Expectations"" + TOS Email (for New Clients)",
R30,2026-08-01,20,26,"You feel out of control, you don't have that many cleans right now",Mix of me + team,Me with a basic script + process,"If I’m not there, scheduling/comms/customer satisfaction falls apart",Brand-standard quality with audits and/or training; not person-dependent at all,"More profitable marketing/sales (ads, SEO, referrals)",Constant texts and fires; it's all in my head,"“We might have gaps, I want better systems and team members who take ownership.”",95-100%,Checking the bank; random surprises happen,Mostly verbal; inconsistent,"Not enough high-quality leads (or too many low-quality leads), low close rate, no automated follow up with past leads",Managing people + schedules + customer issues + sales/quoting,I bought myself a job,We can't find good enough cleaners,"“We do great work - if we could just get more ideal customers, we’d explode.”",,,,How to Get Free Leads from Google (Local SEO Hack Video)
